current, inductance
361.97,	-216.75
362.24,	-216.95
362.52,	-217.15
362.79,	-217.35
363.06,	-217.54
363.33,	-217.74
363.61,	-217.94
363.88,	-218.14
364.15,	-218.34
364.42,	-218.54
364.70,	-218.74
364.97,	-218.94
365.24,	-219.14
365.51,	-219.34
365.79,	-219.54
366.06,	-219.73
366.33,	-219.93
366.61,	-220.13
366.88,	-220.33
367.15,	-220.53
367.42,	-220.73
367.70,	-220.93
367.97,	-221.13
368.24,	-221.33
368.51,	-221.53
368.79,	-221.73
369.06,	-221.93
369.33,	-222.13
369.60,	-222.32
369.88,	-222.52
370.15,	-222.72
370.42,	-222.92
370.69,	-223.12
370.97,	-223.32
371.24,	-223.52
371.51,	-223.72
371.79,	-223.92
372.06,	-224.12
372.33,	-224.32
372.60,	-224.52
372.88,	-224.72
373.15,	-224.92
373.42,	-225.12
373.69,	-225.31
373.97,	-225.51
374.24,	-225.71
374.51,	-225.91
374.78,	-226.11
375.06,	-226.31
375.33,	-226.51
375.60,	-226.71
375.87,	-226.91
376.15,	-227.11
376.42,	-227.31
376.69,	-227.51
376.97,	-227.71
377.24,	-227.91
377.51,	-228.11
377.78,	-228.31
378.06,	-228.51
378.33,	-228.70
378.60,	-228.90
378.87,	-229.10
379.15,	-229.30
379.42,	-229.50
379.69,	-229.70
379.96,	-229.90
380.24,	-230.10
380.51,	-230.30
380.78,	-230.50
381.06,	-230.70
